#mH    mA      mC       tb     cba       m122    wh          wH         wA          wC           N    SigmaxBR[fb]     DIRECTORY
275.09  616.2776  616.2776  1.5  0  34926.696046153855  0.00435046118  0.0146252082  48.0194359  47.800815  2  45.458545285107704  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_275.09_mA_616.2776_mC_616.2776_tb_1.5_cba_0_m122_34926.696046153855
325.09  616.2776  616.2776  1.5  0  48777.00373846155  0.00435055294  0.019901618  37.671554  37.4017948  2  34.28082245533196  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_325.09_mA_616.2776_mC_616.2776_tb_1.5_cba_0_m122_48777.00373846155
375.09  616.2776  616.2776  1.5  0  64935.00373846156  0.00435066041  0.931634872  28.2978919  27.9465165  2  0.6751955456428921  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_375.09_mA_616.2776_mC_616.2776_tb_1.5_cba_0_m122_64935.00373846156
425.09  616.2776  616.2776  1.5  0  83400.69604615387  0.00435078379  2.88380354  20.7098896  20.2327237  2  0.16349971816709855  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_425.09_mA_616.2776_mC_616.2776_tb_1.5_cba_0_m122_83400.69604615387
475.09  616.2776  616.2776  1.5  0  104174.08066153848  0.00435092329  4.82527242  15.5412134  14.8683899  2  0.043443699223992834  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_475.09_mA_616.2776_mC_616.2776_tb_1.5_cba_0_m122_104174.08066153848
525.09  616.2776  616.2776  1.5  0  127255.1575846154  0.00435107917  6.64787307  13.2917878  12.2063376  2  0.00019527373090800595  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_525.09_mA_616.2776_mC_616.2776_tb_1.5_cba_0_m122_127255.1575846154
125.09  666.2776  666.2776  1.5  0  7221.926815384616  0.00435027615  0.00679846741  96.3023339  96.1433194  2  39.00692002558445  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_125.09_mA_666.2776_mC_666.2776_tb_1.5_cba_0_m122_7221.926815384616
175.09  666.2776  666.2776  1.5  0  14149.157584615386  0.00435031506  0.0092085955  87.4800996  87.315123  2  37.2235118045819  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_175.09_mA_666.2776_mC_666.2776_tb_1.5_cba_0_m122_14149.157584615386
225.09  666.2776  666.2776  1.5  0  23384.08066153846  0.00435036701  0.011739868  76.6991115  76.5214989  2  34.78909467150395  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_225.09_mA_666.2776_mC_666.2776_tb_1.5_cba_0_m122_23384.08066153846
275.09  666.2776  666.2776  1.5  0  34926.696046153855  0.00435043211  0.0146252082  64.7244098  64.5233669  2  31.46828590208784  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_275.09_mA_666.2776_mC_666.2776_tb_1.5_cba_0_m122_34926.696046153855
325.09  666.2776  666.2776  1.5  0  48777.00373846155  0.00435051044  0.019901618  52.418981  52.1783779  2  24.720423644687532  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_325.09_mA_666.2776_mC_666.2776_tb_1.5_cba_0_m122_48777.00373846155
375.09  666.2776  666.2776  1.5  0  64935.00373846156  0.00435060212  0.931634872  40.6819655  40.3788569  2  0.5285946721568109  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_375.09_mA_666.2776_mC_666.2776_tb_1.5_cba_0_m122_64935.00373846156
425.09  666.2776  666.2776  1.5  0  83400.69604615387  0.00435070731  2.88380354  30.3752695  29.977771  2  0.15383131818890033  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_425.09_mA_666.2776_mC_666.2776_tb_1.5_cba_0_m122_83400.69604615387
475.09  666.2776  666.2776  1.5  0  104174.08066153848  0.00435082616  4.82527242  22.2405145  21.7037819  2  0.06719834621123318  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_475.09_mA_666.2776_mC_666.2776_tb_1.5_cba_0_m122_104174.08066153848
525.09  666.2776  666.2776  1.5  0  127255.1575846154  0.00435095886  6.64787307  16.8159193  16.070298  2  0.02106910485611408  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_525.09_mA_666.2776_mC_666.2776_tb_1.5_cba_0_m122_127255.1575846154
575.09  666.2776  666.2776  1.5  0  152643.92681538465  0.0043511056  8.34503947  14.4962825  13.3244525  2  0.00010115567185274086  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_575.09_mA_666.2776_mC_666.2776_tb_1.5_cba_0_m122_152643.92681538465
125.09  716.2776  716.2776  1.5  0  7221.926815384616  0.00435027418  0.00679846741  119.77963  119.640455  2  26.41053769735761  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_125.09_mA_716.2776_mC_716.2776_tb_1.5_cba_0_m122_7221.926815384616
175.09  716.2776  716.2776  1.5  0  14149.157584615386  0.00435030782  0.0092085955  110.147652  110.003717  2  25.324132323354487  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_175.09_mA_716.2776_mC_716.2776_tb_1.5_cba_0_m122_14149.157584615386
225.09  716.2776  716.2776  1.5  0  23384.08066153846  0.00435035272  0.011739868  98.2255194  98.0715145  2  23.85790795088713  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_225.09_mA_716.2776_mC_716.2776_tb_1.5_cba_0_m122_23384.08066153846
275.09  716.2776  716.2776  1.5  0  34926.696046153855  0.00435040897  0.0146252082  84.7399755  84.5673457  2  21.872166976172398  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_275.09_mA_716.2776_mC_716.2776_tb_1.5_cba_0_m122_34926.696046153855
325.09  716.2776  716.2776  1.5  0  48777.00373846155  0.00435047662  0.019901618  70.5242092  70.3202418  2  17.588413718208397  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_325.09_mA_716.2776_mC_716.2776_tb_1.5_cba_0_m122_48777.00373846155
375.09  716.2776  716.2776  1.5  0  64935.00373846156  0.00435055577  0.931634872  56.4679078  56.2147  2  0.3926662901903673  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_375.09_mA_716.2776_mC_716.2776_tb_1.5_cba_0_m122_64935.00373846156
425.09  716.2776  716.2776  1.5  0  83400.69604615387  0.00435064654  2.88380354  43.4576057  43.1307646  2  0.12452869545559603  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_425.09_mA_716.2776_mC_716.2776_tb_1.5_cba_0_m122_83400.69604615387
475.09  716.2776  716.2776  1.5  0  104174.08066153848  0.00435074903  4.82527242  32.3078781  31.8745721  2  0.06576886902833429  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_475.09_mA_716.2776_mC_716.2776_tb_1.5_cba_0_m122_104174.08066153848
